question,ground_truth,contexts,source,page
What is the page number for 'affricate sound'?,315,"['accessing a referent, 521\naccomplishment\nexpressions, 470\naccuracy, 386\nachievement expressions,\n470\nacknowledgment speech\nact, 574\nactivation, 121\nactivity expressions, 470\nadd gate, 298\nadd-k, 53\nadd-one smoothing, 52\nadequacy, 275\nadjacency pairs, 575\nAdjectives, 384\nadverb, 384\ndegree, 384\ndirectional, 384\nlocative, 384\nmanner, 384\ntemporal, 384\nAdverbs, 384\nadversarial loss, 372\nad hoc retrieval, 237\nAED, 346\naffective, 501\nafﬁx,8\naffricate sound, 315\nagent, as thematic role, 482\nagglutinative\nlanguage, 9, 262\nAIFF ﬁle, 321\nAISHELL-1, 341\naktionsart, 470\nALGOL, 429\nalgorithm\nbyte-pair encoding, 15\nCKY , 417\nminimum edit distance,\n33\nsemantic role labeling,\n489\nTextTiling, 564\nViterbi, 393\naligned, 219\nalignment, 31, 355\nin ASR, 360\nminimum cost, 33\nof transcript, 312\nstring, 31']",../data/course_textbook.pdf,618
What is one alternative method to instruction-tuning an LLM mentioned in the text?,"Doing this via test-time compute, prompting the LLM to answer the question and simultaneously to generate reflections on which passages were useful.","['instruction-tuning an LLM, by ﬁrst creating a dataset of questions annotated with\nretrieved passages and correct answers, and then instruction-tuning the LLM to cor-\nrectly answer the questions from the passages. An alternative method is to do this via\ntest-time compute, prompting the LLM to answer the question and simultaneously to\ngenerate reﬂections on which passages were useful. The process of generating these\nreﬂections may lead the LLM to improve at identifying good passages. The result-\ning reﬂection text can also be used for in-context learning, for example by using the\ntext as part of a prompt for further questions.\nIn addition to training the LLM, we could train the IR engine. After all, the IR\nengine itself has not been optimized for the RAG scenario. It might not have been']",../data/course_textbook.pdf,258
What is the space between the two folds of muscle in the larynx called?,glottis,"['lungs through the windpipe (technically, the trachea) and then out the mouth or\nnose. As it passes through the trachea, the air passes through the larynx, commonly\nknown as the Adam’s apple or voice box. The larynx contains two small folds of\nmuscle, the vocal folds (often referred to non-technically as thevocal cords), which\ncan be moved together or apart. The space between these two folds is called the\nglottis. If the folds are close together (but not tightly closed), they will vibrate as airglottis\npasses through them; if they are far apart, they won’t vibrate. Sounds made with the\nvocal folds together and vibrating are calledvoiced; sounds made without this vocalvoiced sound\ncord vibration are called unvoiced or voiceless. V oiced sounds include [b], [d], [g],unvoiced sound']",../data/course_textbook.pdf,319
What is the output of the statement 'a' + 'ab' in Python 3?,B,"['7.3 • P ROMPTING 153\nshows an example of a question using 2 demonstrations, hence 2-shot prompting.\nThe example is drawn from a computer science question from the MMLU dataset\ndescribed in Section 7.6 that is often used to evaluate language models.\nExample of demonstrations in a computer science question from the MMLU\ndataset described in Section 7.6\nThe following are multiple choice questions about high school computer\nscience.\nLet x = 1. What is x<< 3 in Python 3?\n(A) 1 (B) 3 (C) 8 (D) 16\nAnswer: C\nWhich is the largest asymptotically?\n(A) O(1) (B) O(n) (C) O(n2) (D) O(log(n))\nAnswer: C\nWhat is the output of the statement “a” + “ab” in Python 3?\n(A) Error (B) aab (C) ab (D) a ab\nAnswer:\nFigure 7.6 Sample 2-shot prompt from MMLU testing high-school computer science. (The']",../data/course_textbook.pdf,160
What is emphasized as crucial for success in the NLP course?,"Success in the NLP course is a result of concerted efforts, including prioritizing transparency, understanding in-class quizzes, embracing deliberate practice for programming, and iterating on presentations.","['overlooked while focusing on continuous improvement. \n•Prioritize transparency by appropriately citing tools, resources, and data sources, \nshowcasing your commitment to ethical and accountable work. \n•Approach in-class quizzes with a clear understanding and well-organized thoughts, \nleveraging your conceptual clarity to excel. \n•If programming presents challenges, embrace deliberate practice to strengthen your \nskills and confidently navigate technical aspects. \n•Embrace iteration as you prepare presentations, ensuring impactful task \ndemonstrations, comprehensive analyses, and well-structured reports. \n•Recognize that success in the NLP course is a result of these concerted efforts, \nculminating in your growth as a proficient and accomplished NLP practitioner. \nAcademic Integrity']",../data/course_syllabus.pdf,9
What role might shallow semantics play in machine translation?,Shallow semantics might act as a useful intermediate language in machine translation.,"['that the two sentences have very different surface syntax. Similarly, this shallow\nsemantics might act as a useful intermediate language in machine translation.']",../data/course_textbook.pdf,489
What should you do if you must miss a class to observe a religious holy day?,You will be given an opportunity to complete the missed work within a reasonable time after the absence.,"['possible of the date of observance of a religious holy day. If you must miss a class, an \nexamination, a work assignment, or a project in order to observe a religious holy day, you \nwill be given an opportunity to complete the missed work within a reasonable time after \nthe absence. \nNames and Pronouns \nProfessional courtesy and sensitivity are especially important with respect to individuals \nand topics dealing with differences of race, culture, religion, politics, sexual orientation, \ngender, gender variance, and nationalities. I will gladly honor your request to address you \nby your chosen name and by the gender pronouns you use. Class rosters are provided to \nthe instructor with the student’s chosen (not legal) name, if you have provided one. If you']",../data/course_syllabus.pdf,10
What is the formula for precision as defined in the text?,Precision = |R| / |T|,"['system returns T ranked documents in response to an information request, a subset\nR of these are relevant, a disjoint subset, N, are the remaining irrelevant documents,\nand U documents in the collection as a whole are relevant to this request. Precision\nand recall are then deﬁned as:\nPrecision = |R|\n|T | Recall = |R|\n|U| (11.13)\nUnfortunately, these metrics don’t adequately measure the performance of a system\nthat ranks the documents it returns. If we are comparing the performance of two\nranked retrieval systems, we need a metric that prefers the one that ranks the relevant\ndocuments higher. We need to adapt precision and recall to capture how well a\nsystem does at putting relevant documents higher in the ranking.']",../data/course_textbook.pdf,251
What is one reason for tokenizing the input in NLP?,Converting an input to a deterministic fixed set of units means that different algorithms and systems can agree on simple questions.,"['approach to deﬁne tokens that will generally result in units about the size of mor-\nphemes or words, but occasionally use units as small as characters.\nWhy tokenize the input? One reason is that converting an input to a deterministic\nﬁxed set of units means that different algorithms and systems can agree on simple\nquestions. For example, How long is this text? (How many units are in it?). Or:\nIs don’t or New York one token or two? Standardizing is thus essential for repli-\ncability in NLP experiments, and many algorithms that we introduce in this book\n(like the perplexity metric for language models) assume that all texts have a ﬁxed\ntokenization.\nTokenization algorithms that include smaller tokens for morphemes and letters']",../data/course_textbook.pdf,20
What is the focus of WEEK 2 in the course schedule?,Lexical Analytics: Analyzing Words,"['1. WEEK 1. Introduction to Natural Language Processing \nLecture: Course Overview, Syllabus, Overview of applications and real-world examples, \nImportance of text data in various industries, NLP Applications \nLab: Python Basics and File, String and Document Processing, Regular Expressions, \nFrequency Analysis and Visualization of text Data \nReadings: \n[1] Chapter 1: Introduction , Book: Jurafsky, D., & Manning, C. (2012). Natural language \nprocessing. Instructor, 212(998), 3482. \n[2] https://cs.nyu.edu/~davise/ai/ambiguity.html \nAssignment 1: Frequency analysis using Python and string processing \n2. WEEK 2. Lexical Analytics : Analyzing Words \nLecture: Morphology and morphological diversities across close and distant languages,']",../data/course_syllabus.pdf,4
What potential risk is associated with large language models leaking information from their training data?,"An adversary can extract training-data text from a language model, such as a person’s name, phone number, and address.","['of this disclosure (Ischen et al., 2019). We discussed above that pretraining data\nalso is likely to have private information like phone numbers and addresses. This is\nproblematic because large language models canleak information from their training\ndata. That is, an adversary can extract training-data text from a language model\nsuch as a person’s name, phone number, and address (Henderson et al. 2017, Carlini\net al. 2021). This becomes even more problematic when large language models are\ntrained on extremely sensitive private datasets such as electronic health records.\nA related safety issue is emotional dependence. Reeves and Nass (1996) show']",../data/course_textbook.pdf,175
What are the four major classes of speech acts according to Bach and Harnish (1979)?,"Constatives, Directives, Commissives, Acknowledgments","['(1953) but worked out more fully by Austin (1962)—is that each utterance in a\ndialogue is a kind of action being performed by the speaker. These actions are com-\nmonly called speech acts or dialogue acts: here’s one taxonomy consisting of 4speech acts\nmajor classes (Bach and Harnish, 1979):\nConstatives: committing the speaker to something’s being the case (answering, claiming,\nconﬁrming, denying, disagreeing, stating)\nDirectives: attempts by the speaker to get the addressee to do something (advising, ask-\ning, forbidding, inviting, ordering, requesting)\nCommissives: committing the speaker to some future course of action (promising, planning,\nvowing, betting, opposing)\nAcknowledgments: express the speaker’s attitude regarding the hearer with respect to some so-']",../data/course_textbook.pdf,581
What is the title of the optional reading related to Latent Dirichlet Allocation?,Latent dirichlet allocation.,"['Readings: \n[1] K-means Clustering - A theoretical foundation https://medium.com/@akshay.sinha/k-\nmeans-clustering-8ef58ca0d024 \n[2] A Beginner’s Guide to Latent Dirichlet Allocation(LDA) https://\ntowardsdatascience.com/latent-dirichlet-allocation-lda-9d1cd064ffa2\xa0 \nOptional Readings:  \n[1] Blei, D. M., Ng, A. Y., & Jordan, M. I. (2003). Latent dirichlet allocation. Journal of \nmachine Learning research, 3(Jan), 993-1022. \nAssignment 4: Keyword Extraction  \nProject: Group Formation \n6. WEEK 6. Deep Learning for NLP -I \nLecture(s): Introduction to Neural Networks and Back propagation, Recurrent neural \nnetworks and Transformers \nLab: Text classification using Neural Networks using TensorFlow \nReadings: \n[1] Quick introduction to neural networks (https://ujjwalkarn.me/2016/08/09/quick-']",../data/course_syllabus.pdf,6
What are some common restrictions placed on dependency structures according to the text?,"The structures must be connected, have a designated root node, and be acyclic or planar.","['punctuation, or when dealing with morphologically complex languages the set of\nvertices might consist of stems and afﬁxes. The set of arcs, A, captures the head-\ndependent and grammatical function relationships between the elements in V .\nDifferent grammatical theories or formalisms may place further constraints on\nthese dependency structures. Among the more frequent restrictions are that the struc-\ntures must be connected, have a designated root node, and be acyclic or planar. Of\nmost relevance to the parsing approaches discussed in this chapter is the common,']",../data/course_textbook.pdf,440
What has the Title IX office developed to respond to a survivor?,Supportive ways to respond to a survivor.,['Title IX office has developed supportive ways to respond to a survivor and compiled \ncampus resources to support survivors.'],../data/course_syllabus.pdf,11
What is the modern sense of the word 'broadcast' derived from?,The modern 'transmission' sense of broadcast is derived from its original sense of sowing seeds.,"['the development of the modern “transmission” sense of broadcast from its original sense of\nsowing seeds, and the pejoration of the word awful as it shifted from meaning “full of awe”\nto meaning “terrible or appalling” (Hamilton et al., 2016b).\n5.8 Bias and Embeddings\nIn addition to their ability to learn word meaning from text, embeddings, alas,\nalso reproduce the implicit biases and stereotypes that were latent in the text. As\nthe prior section just showed, embeddings can roughly model relational similar-\nity: ‘queen’ as the closest word to ‘king’ - ‘man’ + ‘woman’ implies the analogy\nman:woman::king:queen. But these same embedding analogies also exhibit gender\nstereotypes. For example Bolukbasi et al. (2016) ﬁnd that the closest occupation']",../data/course_textbook.pdf,121
What are the two commonly used models of coherence relations mentioned in the text?,Rhetorical Structure Theory (RST) and the Penn Discourse TreeBank (PDTB).,"['relation\nThe next two sections describe two commonly used models of coherence relations\nand associated corpora: Rhetorical Structure Theory (RST), and the Penn Discourse\nTreeBank (PDTB).\n24.1.1 Rhetorical Structure Theory\nThe most commonly used model of discourse organization is Rhetorical Structure\nTheory (RST) (Mann and Thompson, 1987). In RST relations are deﬁned betweenRST\ntwo spans of text, generally a nucleus and a satellite. The nucleus is the unit thatnucleus\nsatellite is more central to the writer’s purpose and that is interpretable independently; the\nsatellite is less central and generally is only interpretable with respect to the nucleus.\nSome symmetric relations, however, hold between two nuclei.\nBelow are a few examples of RST coherence relations, with deﬁnitions adapted']",../data/course_textbook.pdf,560
What are the titles of the two books mentioned in the text chunk?,Natural Language Processing and Foundations of statistical natural language processing.,"['Natural Language Processing (2007).pdf or buy from https://www.amazon.com/Speech-\nLanguage-Processing-Daniel-Jurafsky/dp/0131873210 \n2. Manning, C., & Schutze, H. (1999). Foundations of statistical natural language \nprocessing. MIT press.  Unofficial Copy: https://doc.lagout.org/science/0_Computer \nScience/2_Algorithms/Statistical Natural Language Processing.pdf or buy from https://\nwww.amazon.com/Foundations-Statistical-Natural-Language-Processing/dp/\n0262133601/ref=pd_lpo_sccl_3/133-6690059-3136500?pd_rd_w=G9hpl&content-\nid=amzn1.sym.116f529c-aa4d-4763-b2b6-4d614ec7dc00&pf_rd_p=116f529c-aa4d-4763-\nb2b6-4d614ec7dc00&pf_rd_r=PD46FJR8DE5CFANKR2V6&pd_rd_wg=PKsqt&pd_rd_r\n=8d765a26-c155-4d8c-b23a-d5dc59621b5c&pd_rd_i=0262133601&psc=1   \nBooks that can be optionally purchased (optional)']",../data/course_syllabus.pdf,2
